id,date,montant,type,compte_source,compte_destination
1,2022-10-02 10:10,342.88,C,FR7690756813407860885332,FR7689496809986121793380
2,2023-08-23 23:08,246.23,C,FR7674513318188267363753,FR7641135120176576901278
3,2023-09-22 07:09,29.44,C,FR7645508632576495437587,FR7679524209554265599448
4,2022-10-14 13:10,-837.67,D,FR7645618241426227395670,FR7671768591182449979260
5,2023-09-29 16:09,298.42,C,FR7668811663217232485840,FR7660286123202290398227
6,2023-12-01 21:12,-578.58,D,FR7654151642560040252991,FR7688848027508692999018
7,2022-06-20 12:06,232.4,C,FR7683677216259865532679,FR7680009724800968514661
8,2023-03-06 00:03,-550.61,D,FR7669879856662168947599,FR7681134487162164554156
9,2023-03-20 12:03,827.92,C,FR7695108510158282344235,FR7671777351168593946216
10,2023-02-12 22:02,19.72,C,FR7634509229250126231016,FR7683212058293687581906
11,2022-07-18 12:07,-118.07,D,FR7627954886417533082899,FR7667822021769233417020
12,2023-06-24 06:06,54.81,C,FR7678911740896572202154,FR7696772781868693533086
13,2023-09-01 02:09,-397.52,D,FR7667824957772324587543,FR7660035766411413054022
14,2023-12-28 19:12,881.64,C,FR7673011857659995589303,FR7666012131881437257819
15,2023-07-15 11:07,569.49,C,FR7661098955281534734647,FR7650074260580897966904
16,2023-07-22 06:07,722.68,C,FR7662104803355121733210,FR7644584673487128954813
17,2022-10-09 14:10,-397.12,D,FR7647932673786167727536,FR7685919213328815622878
18,2023-11-08 19:11,358.38,C,FR7631461757597391536658,FR7692333599704767514998
19,2023-07-24 22:07,49.99,C,FR7695816030583991159929,FR7610585841403287507096
20,2023-12-17 02:12,-876.77,D,FR7635289451603975087826,FR7643291178661838987272
21,2022-06-24 18:06,-337.75,D,FR7619978571331538458572,FR7689745726448431755242
22,2023-11-22 09:11,-695.43,D,FR7621594240101070403778,FR7682859227259554047273
23,2022-01-28 19:01,146.57,C,FR7640783328382450325210,FR7648375021189795433352
24,2022-01-17 06:01,-596.12,D,FR7666779037149785509896,FR7673861260857291552956
25,2022-04-05 13:04,-854.71,D,FR7619158799880812162621,FR7698406427406992902875
26,2023-09-02 12:09,-842.16,D,FR7664958074837870184695,FR7667828190233277184488
27,2022-01-30 02:01,952.15,C,FR7629696307551692678186,FR7696119369211083726656
28,2023-10-15 07:10,430.65,C,FR7613275188574713122023,FR7652805661812443219883
29,2022-02-11 01:02,382.99,C,FR7695198766106316504169,FR7644686816221769262327
30,2023-08-29 03:08,-76.26,D,FR7693322481296289962730,FR7665042710242051866902
31,2023-06-30 05:06,351.51,C,FR7691867645257938592124,FR7635855128446744229152
32,2022-09-20 02:09,376.56,C,FR7641891480655181372990,FR7681693221744035956046
33,2022-09-24 21:09,-755.76,D,FR7660849793174780152704,FR7622733483584687854556
34,2023-09-26 00:09,569.15,C,FR7657538065473656417638,FR7639925053510650422839
35,2023-02-14 22:02,-696.15,D,FR7672608973330065432864,FR7632189075522241216091
36,2023-03-31 01:03,134.3,C,FR7658039278890365752939,FR7656089063621846125601
37,2023-12-05 10:12,-947.45,D,FR7680363632985595422783,FR7639107302485345922769
38,2023-12-07 02:12,824.85,C,FR7669763590881829746064,FR7696032795514439598803
39,2022-10-04 17:10,-987.57,D,FR7660082052330348842042,FR7689628709963726099507
40,2022-06-10 20:06,-374.16,D,FR7677009809908832319118,FR7642523460518264519249
41,2022-05-07 17:05,-984.57,D,FR7619988329322710711887,FR7663856287150657394345
42,2023-03-22 07:03,543.4,C,FR7693797269915260707468,FR7671979330807964925930
43,2023-11-07 15:11,-27.29,D,FR7697974444770119023968,FR7689553178538595456036
44,2023-04-05 05:04,-660.21,D,FR7614631806633522104475,FR7657198247311271224664
45,2022-05-17 17:05,-840.59,D,FR7675319271128647904988,FR7696865423330723943315
46,2023-02-05 05:02,549.71,C,FR7659944966558360922058,FR7624177267591014465889
47,2022-04-25 13:04,-742.99,D,FR7617141810958277717584,FR7623655694691017018444
48,2022-09-20 19:09,-200.87,D,FR7624345031812642789191,FR7637298403948880931507
49,2023-08-07 19:08,-858.03,D,FR7634944620757094926880,FR7635349886762784949018
50,2023-03-26 00:03,-684.68,D,FR7692331718150053521796,FR7626086612770625552132
51,2022-02-17 23:02,-710.55,D,FR7611244862163133825863,FR7620571831736725046049
52,2023-10-15 00:10,102.05,C,FR7615088044643836387361,FR7640528510239858008349
53,2022-05-02 20:05,-500.93,D,FR7667636476658288861324,FR7694614271840792804985
54,2022-04-06 23:04,186.05,C,FR7610553084656024902076,FR7667744360954291114336
55,2022-03-12 13:03,-81.28,D,FR7679869546161718235427,FR7677337008554890011988
56,2022-02-21 15:02,679.38,C,FR7625455605829170685707,FR7628282043235526548638
57,2022-08-12 05:08,-768.17,D,FR7699832666220698532332,FR7647792344964035934386
58,2022-04-21 04:04,515.64,C,FR7688366982953811213983,FR7665267239323128915620
59,2023-11-06 22:11,41.56,C,FR7612174967853524323633,FR7618109041863798812741
60,2023-03-04 07:03,-607.42,D,FR7676466319790576987684,FR7622032788557690664772
61,2023-07-30 23:07,-857.62,D,FR7690791333150030981607,FR7647334726473418212954
62,2023-03-14 23:03,-499.52,D,FR7695024952759650779813,FR7663442533506425806503
63,2022-03-12 06:03,91.57,C,FR7665494884569746168336,FR7655133394491276394062
64,2023-04-12 06:04,747.12,C,FR7655443622313620534296,FR7627889897605979744266
65,2022-09-05 07:09,-595.5,D,FR7698697588966378866388,FR7635537820148797981681
66,2023-06-25 21:06,-436.68,D,FR7684336948286915357952,FR7617425895287024721806
67,2022-08-07 13:08,-149.4,D,FR7680422159949110091078,FR7684989634760333653367
68,2023-10-03 00:10,-190.22,D,FR7620896214537598287142,FR7668371464663447999172
69,2022-04-09 03:04,985.04,C,FR7694676902301145151991,FR7696901527124292026522
70,2023-07-21 08:07,854.01,C,FR7679353280918993499695,FR7655891944288883572106
71,2022-03-18 04:03,423.44,C,FR7615076211147277898450,FR7681657556676156386528
72,2023-07-25 13:07,-997.53,D,FR7664431586652325476105,FR7681806918129637423510
73,2023-04-12 04:04,914.98,C,FR7685673376526010675133,FR7696879234663844734951
74,2023-09-26 08:09,-540.62,D,FR7675155723713317901555,FR7660957366809655374546
75,2022-07-30 12:07,-663.24,D,FR7692982841597519909262,FR7632088547884923589144
76,2022-12-14 22:12,405.45,C,FR7674276368944975504720,FR7617306992293598082313
77,2022-09-20 02:09,191.05,C,FR7682606339641730168930,FR7677609196413848546417
78,2023-02-14 19:02,245.39,C,FR7676383427454651777809,FR7629097025169518276408
79,2023-09-16 00:09,985.8,C,FR7699135721495475946824,FR7661149301802153612880
80,2022-03-05 04:03,293.06,C,FR7670202398138636073577,FR7655929559819621623092
81,2023-02-09 20:02,-635.08,D,FR7646198370978441825716,FR7697711742690258727844
82,2023-10-31 13:10,-436.17,D,FR7636601617570579988737,FR7635598004103782255197
83,2022-10-08 04:10,464.76,C,FR7640323352273559661691,FR7634753670329358019772
84,2022-03-04 20:03,443.19,C,FR7667646438801526645731,FR7674189067687964681601
85,2023-10-17 23:10,-690.87,D,FR7678864340196380998107,FR7663553095199930704258
86,2023-09-27 23:09,-157.52,D,FR7629151095465373962785,FR7684565935327019008594
87,2022-02-26 15:02,210.99,C,FR7692536985626127637091,FR7632277171172164347583
88,2022-11-18 09:11,469.23,C,FR7688924837490779588350,FR7611465516392680136237
89,2023-01-25 12:01,479.21,C,FR7621238727688480846137,FR7623642369697041611994
90,2023-10-01 02:10,225.96,C,FR7648717387552468043225,FR7698006819360945188353
91,2023-12-07 08:12,-853.79,D,FR7642622593243659354294,FR7657231357111421495947
92,2022-08-23 19:08,-831.26,D,FR7652647760701978185373,FR7665783651947620503301
93,2022-12-12 18:12,161.85,C,FR7670436607662850982767,FR7696016828942376389579
